timestep,mean_reward_last_100,mean_episode_length_last_100
1017000,0.92,17.62
1018000,0.99,18.45
1019000,0.76,15.28
1020000,0.81,16.12
1021000,0.96,17.99
1022000,0.88,17.09
1023000,0.87,17.05
1024000,0.89,16.82
1025000,0.96,17.63
1026000,0.9,17.17
1027000,0.95,17.86
1028000,0.84,16.59
1029000,0.69,14.59
1030000,0.71,14.77
1031000,0.86,16.42
1032000,0.9,16.77
1033000,1.07,19.01
1034000,1.07,19.04
1035000,0.87,16.97
1036000,0.86,17.01
1037000,0.94,17.42
1038000,0.96,17.52
1039000,0.95,17.84
1040000,0.75,15.32
1041000,0.8,15.76
1042000,0.92,17.7
1043000,1.0,18.77
1044000,1.01,18.6
1045000,1.06,19.11
1046000,0.98,17.93
1047000,0.74,14.83
1048000,0.93,17.31
1049000,1.08,19.17
1050000,0.93,17.18
1051000,1.06,19.12
1052000,0.98,18.47
1053000,0.87,16.56
1054000,0.74,15.05
1055000,0.69,14.8
1056000,0.69,14.61
1057000,0.88,17.15
1058000,1.03,19.45
1059000,0.95,18.14
1060000,0.73,15.14
1061000,0.86,16.7
1062000,0.86,16.87
1063000,1.0,18.37
1064000,0.85,16.41
1065000,0.9,17.01
1066000,1.0,18.17
1067000,1.01,18.21
1068000,0.95,17.89
1069000,0.86,16.47
1070000,0.91,17.26
1071000,0.84,16.45
1072000,0.9,17.19
1073000,0.97,18.17
1074000,0.92,17.52
1075000,0.9,17.19
1076000,0.8,15.94
1077000,0.88,16.85
1078000,0.93,17.36
1079000,0.92,17.39
1080000,0.89,16.91
1081000,0.79,15.52
1082000,0.85,16.6
1083000,1.04,18.86
1084000,0.98,18.05
1085000,0.91,17.36
1086000,0.94,18.18
1087000,0.91,17.86
1088000,0.84,16.9
1089000,0.91,17.49
1090000,0.97,18.44
1091000,0.91,17.63
1092000,0.82,16.45
1093000,0.96,17.92
1094000,0.78,15.7
1095000,0.7,14.8
1096000,0.71,14.9
1097000,0.83,16.38
1098000,0.94,17.73
1099000,0.94,17.5
1100000,0.84,16.9
1101000,0.72,15.56
1102000,0.68,14.83
1103000,0.88,17.23
1104000,0.97,17.72
1105000,1.1,19.22
1106000,0.98,17.93
1107000,0.98,18.16
1108000,0.83,16.43
1109000,0.84,16.24
1110000,0.92,17.42
1111000,0.77,15.66
1112000,0.82,16.39
1113000,0.9,17.57
1114000,0.77,15.95
1115000,0.77,15.85
1116000,0.93,17.82
1117000,0.99,18.51
1118000,0.82,16.32
1119000,0.89,16.72
1120000,1.02,18.22
1121000,0.77,15.51
1122000,0.73,15.32
1123000,0.84,16.38
1124000,0.89,16.87
1125000,1.03,18.51
1126000,0.98,18.14
1127000,0.99,18.48
1128000,0.9,17.15
1129000,0.91,17.31
1130000,0.98,18.02
1131000,0.82,16.0
1132000,0.81,16.1
1133000,1.0,18.8
1134000,0.98,18.42
1135000,0.87,16.92
1136000,0.93,17.8
1137000,0.79,15.96
1138000,0.73,15.22
1139000,0.86,17.03
1140000,0.82,16.43
1141000,0.7,14.51
1142000,0.58,13.2
1143000,0.77,15.81
1144000,0.86,16.98
1145000,0.81,16.42
1146000,0.57,13.33
1147000,0.7,15.5
1148000,0.7,15.27
1149000,0.84,16.46
1150000,0.82,16.63
1151000,0.84,16.59
1152000,0.83,16.4
1153000,0.79,16.23
1154000,0.76,15.28
1155000,0.8,15.94
1156000,0.92,17.63
1157000,0.99,18.73
1158000,0.99,18.38
1159000,1.03,18.87
1160000,1.01,18.72
1161000,0.83,16.43
1162000,0.8,16.13
1163000,0.87,17.01
1164000,0.94,18.01
1165000,0.96,18.19
1166000,0.73,15.09
1167000,0.72,14.78
1168000,0.89,16.94
1169000,0.91,17.33
1170000,0.82,16.35
1171000,0.79,16.36
1172000,0.8,16.19
1173000,0.97,18.22
1174000,0.86,16.77
1175000,0.66,14.33
1176000,0.67,14.44
1177000,0.98,18.34
1178000,1.0,18.65
1179000,0.97,17.74
1180000,0.87,16.81
1181000,0.75,15.52
1182000,0.8,16.15
1183000,0.99,18.38
1184000,0.95,17.78
1185000,0.96,17.86
1186000,0.81,16.07
1187000,0.87,16.69
1188000,1.03,18.69
1189000,0.88,16.59
1190000,0.92,17.19
1191000,0.87,16.82
1192000,0.76,15.6
1193000,0.78,15.58
1194000,0.74,15.31
1195000,0.81,16.39
1196000,0.7,14.94
1197000,0.92,17.97
1198000,1.01,18.85
1199000,0.9,16.89
1200000,0.85,16.53
1201000,0.94,17.56
1202000,1.03,18.42
1203000,1.09,19.37
1204000,0.87,16.82
1205000,0.9,17.33
1206000,0.88,17.41
1207000,0.76,15.89
1208000,0.81,16.32
1209000,0.85,16.42
1210000,0.88,16.41
1211000,0.98,17.94
1212000,0.97,18.43
1213000,0.99,18.6
1214000,0.93,17.57
1215000,0.87,16.78
1216000,0.87,17.1
1217000,0.73,15.32
1218000,0.89,16.76
1219000,0.83,16.09
1220000,0.84,16.6
1221000,0.89,17.44
1222000,0.81,16.29
1223000,0.66,14.45
1224000,0.92,17.79
1225000,0.85,16.57
1226000,0.76,15.54
1227000,0.96,17.69
1228000,0.78,15.54
1229000,0.81,16.0
1230000,0.96,17.59
1231000,1.14,19.74
1232000,1.08,18.98
1233000,0.8,15.83
1234000,0.89,17.07
1235000,0.88,17.3
1236000,0.75,15.73
1237000,0.77,15.45
1238000,0.92,17.42
