timestep,mean_reward_last_100,mean_episode_length_last_100,total_episodes
830000,2.29,34.3,33149
831000,2.36,35.43,33173
832000,2.34,35.4,33201
833000,2.34,35.8,33230
834000,2.48,37.45,33256
835000,2.28,34.3,33289
836000,2.25,33.77,33320
837000,2.02,31.0,33353
838000,2.1,32.09,33379
839000,2.26,34.0,33407
840000,2.41,35.42,33435
841000,2.44,36.34,33462
842000,2.32,34.69,33493
843000,2.17,33.0,33525
844000,2.16,33.2,33553
845000,2.11,33.0,33581
846000,2.21,34.3,33612
847000,2.28,35.38,33637
848000,2.4,36.18,33664
849000,2.34,35.52,33695
850000,2.27,34.25,33727
851000,2.26,33.9,33752
852000,2.25,33.62,33785
853000,2.28,34.26,33812
854000,2.2,33.13,33844
855000,2.13,32.61,33875
856000,2.07,31.96,33906
857000,2.25,34.35,33930
858000,2.21,33.92,33961
859000,2.25,34.9,33991
860000,2.12,33.52,34022
861000,2.05,32.3,34054
862000,2.2,34.23,34081
863000,2.12,32.99,34113
864000,2.19,34.08,34141
865000,2.18,33.8,34171
866000,2.29,35.08,34198
867000,2.32,35.21,34227
868000,2.3,35.16,34257
869000,2.35,35.13,34285
870000,2.2,33.38,34317
871000,2.12,32.03,34350
872000,2.0,31.07,34380
873000,2.09,32.49,34410
874000,2.12,33.31,34439
875000,2.12,32.93,34468
876000,2.22,33.94,34496
877000,2.28,34.76,34524
878000,2.26,34.11,34556
879000,2.24,33.97,34584
880000,2.28,34.37,34611
881000,2.12,33.0,34645
882000,2.18,34.28,34672
883000,2.11,33.74,34702
884000,2.15,33.92,34732
885000,2.25,35.0,34758
886000,2.35,35.51,34786
887000,2.33,35.31,34815
888000,2.34,35.25,34845
889000,2.1,32.07,34880
890000,1.92,30.37,34914
891000,1.86,29.67,34946
892000,2.02,32.43,34972
893000,2.14,33.9,35000
894000,2.31,36.12,35029
895000,2.26,35.54,35060
896000,2.04,32.09,35093
897000,2.19,33.95,35117
898000,2.3,35.01,35145
899000,2.36,35.79,35174
900000,2.29,35.27,35202
901000,2.33,35.27,35228
902000,2.28,34.32,35261
903000,2.23,34.0,35290
904000,2.08,32.84,35319
905000,2.28,35.09,35346
906000,2.28,35.06,35375
907000,2.36,35.32,35402
908000,2.37,34.98,35434
909000,2.21,33.43,35464
910000,2.36,35.1,35489
911000,2.39,35.35,35515
912000,2.35,35.27,35548
913000,2.48,36.75,35573
914000,2.33,34.73,35603
915000,2.22,33.66,35633
916000,2.27,34.31,35662
917000,2.11,32.98,35694
918000,2.08,32.38,35727
919000,2.0,31.13,35758
920000,2.13,32.31,35786
921000,2.24,33.67,35815
922000,2.36,35.39,35842
923000,2.3,34.97,35872
924000,2.3,35.63,35898
925000,2.22,34.41,35930
926000,2.25,34.62,35958
927000,2.34,34.96,35987
